start datetime,delta s,action,experiment,param,experiment id,,packet datetime
,40,Abort,,,,abort rp2 temp auto-starting tt_um_cejmu,2026-01-10T09:03:00
,240,Abort,,,,ensure tt_um_cejmu is done,2026-01-10T09:07:00
,0,Ping,,0x4c503130,,Ping LP10,2026-01-10T09:07:00
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T09:07:10
,0,Queue,rp2_temperature,0x000000000F0000,13,Queue rp2_temperature,2026-01-10T09:07:10
,40,Abort,,,,abort osc bones auto-launching rp temp,2026-01-10T09:07:50
,10,Queue,tt_um_CKPope_top,,14,Queue tt_um_CKPope_top,2026-01-10T09:08:00
,40,Abort,,,,abort rp2 temp auto-starting tt_um_CKPope_top,2026-01-10T09:08:40
,240,Abort,,,,ensure tt_um_CKPope_top is done,2026-01-10T09:12:40
,0,Ping,,0x4c503131,,Ping LP11,2026-01-10T09:12:40
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T09:12:50
,0,Queue,tt_contributors,0x01,128,Queue tt_contributors,2026-01-10T09:12:50
,40,Abort,,,,abort osc bones auto-launching contrib loto,2026-01-10T09:13:30
,10,Queue,tt_um_PAL,,15,Queue tt_um_PAL,2026-01-10T09:13:40
,240,Abort,,,,ensure tt_um_PAL is done,2026-01-10T09:17:40
,0,Ping,,0x4c503132,,Ping LP12,2026-01-10T09:17:40
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T09:17:50
,0,Queue,rp2_temperature,0x000000000F0000,13,Queue rp2_temperature,2026-01-10T09:17:50
,40,Abort,,,,abort osc bones auto-launching rp temp,2026-01-10T09:18:30
,10,Queue,tt_um_dlmiles_muldiv8,,16,Queue tt_um_dlmiles_muldiv8,2026-01-10T09:18:40
,40,Abort,,,,abort rp2 temp auto-starting tt_um_dlmiles_muldiv8,2026-01-10T09:19:20
,240,Abort,,,,ensure tt_um_dlmiles_muldiv8 is done,2026-01-10T09:23:20
,0,Ping,,0x4c503133,,Ping LP13,2026-01-10T09:23:20
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T09:23:30
,0,Queue,rp2_temperature,0x000000000F0000,13,Queue rp2_temperature,2026-01-10T09:23:30
,40,Abort,,,,abort osc bones auto-launching rp temp,2026-01-10T09:24:10
,10,Queue,tt_um_dlmiles_muldiv8_sky130faha,,17,Queue tt_um_dlmiles_muldiv8_sky130faha,2026-01-10T09:24:20
,40,Abort,,,,abort rp2 temp auto-starting tt_um_dlmiles_muldiv8_sky130faha,2026-01-10T09:25:00
,240,Abort,,,,ensure tt_um_dlmiles_muldiv8_sky130faha is done,2026-01-10T09:29:00
,0,Ping,,0x4c503134,,Ping LP14,2026-01-10T09:29:00
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T09:29:10
,0,Queue,tt_contributors,0x01,128,Queue tt_contributors,2026-01-10T09:29:10
