"id","internaltime","timestampDate","timestampUnix","teamname","telemetry"
"15057","2593048","2026-01-08 19:11:57","1767899517","spasic","090300000400A0865700000000000000"
"15064","2593058","2026-01-08 19:12:07","1767899527","spasic","090300000410E4895700000000000000"
"15071","2593068","2026-01-08 19:12:17","1767899537","spasic","090300000420728A5700000000000000"
"15078","2593078","2026-01-08 19:12:27","1767899547","spasic","09030000043020845700000000000000"
"15084","2593088","2026-01-08 19:12:37","1767899557","spasic","090300000440CD6F5700000000000000"
"15090","2593099","2026-01-08 19:12:48","1767899568","spasic","0903000004500A515700000000000000"
"15096","2593109","2026-01-08 19:12:58","1767899578","spasic","090300000460D62D5700000000000000"
"15103","2593119","2026-01-08 19:13:08","1767899588","spasic","0903000004704B0E5700000000000000"
"15109","2593129","2026-01-08 19:13:18","1767899598","spasic","070103009101000080A6F75600000000"
"15115","2593139","2026-01-08 19:13:28","1767899608","spasic","09030000049087E95600000000000000"
"15121","2593149","2026-01-08 19:13:38","1767899618","spasic","0903000004A090E65600000000000000"
"15127","2593159","2026-01-08 19:13:48","1767899628","spasic","0903000004B080EF5600000000000000"
"15133","2593169","2026-01-08 19:13:58","1767899638","spasic","0903000004C072FC5600000000000000"
"15140","2593180","2026-01-08 19:14:09","1767899649","spasic","490001017F68EE5FF301606900000000"
"15147","2593190","2026-01-08 19:14:19","1767899659","spasic","0903000004E0A00E5700000000000000"
"15154","2593200","2026-01-08 19:14:29","1767899669","spasic","0903000004F0AC145700000000000000"
"15160","2593210","2026-01-08 19:14:39","1767899679","spasic","0903000004007C175700000000000000"
"15166","2593220","2026-01-08 19:14:49","1767899689","spasic","0903000004105E175700000000000000"
"15172","2593230","2026-01-08 19:14:59","1767899699","spasic","07010300F5010000205F155700000000"
"15179","2593240","2026-01-08 19:15:09","1767899709","spasic","09030000043036105700000000000000"
"15185","2593250","2026-01-08 19:15:19","1767899719","spasic","09030000044003FF5600000000000000"
"15191","2593261","2026-01-08 19:15:30","1767899730","spasic","0903000004508EE05600000000000000"
"15197","2593271","2026-01-08 19:15:40","1767899740","spasic","090300000460C4BF5600000000000000"
"15203","2593281","2026-01-08 19:15:50","1767899750","spasic","0903000004705FA45600000000000000"
"15209","2593291","2026-01-08 19:16:00","1767899760","spasic","09030000048020985600000000000000"
"15216","2593301","2026-01-08 19:16:10","1767899770","spasic","090300000490189F5600000000000000"
"15223","2593311","2026-01-08 19:16:20","1767899780","spasic","0903000004A02CAB5600000000000000"
"15230","2593321","2026-01-08 19:16:30","1767899790","spasic","0903000004B0DDB25600000000000000"
"15236","2593332","2026-01-08 19:16:41","1767899801","spasic","0903000004D0D6BD5600000000000000"
